player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
36326,David Lipsky,2023,2025-03-22 08:39:25.679,0.257,77.0,-0.133,-0.133,131.0,-10.757,-0.466,179.0,-37.775
27129,Luke List,2023,2025-03-22 08:43:22.025,0.787,31.0,0.641,0.641,9.0,53.236,-0.623,189.0,-51.694
35449,Adam Long,2023,2025-03-22 08:45:36.163,-0.422,160.0,-0.182,-0.182,141.0,-15.69,0.32,43.0,27.531
40162,Justin Lower,2023,2025-03-22 08:47:36.560,-0.382,158.0,-0.243,-0.243,154.0,-19.476,0.354,35.0,28.339
33204,Shane Lowry,2023,2025-03-22 08:50:25.097,0.937,20.0,0.408,0.408,30.0,22.856,-0.114,116.0,-6.4
52215,Robert MacIntyre,2023,2025-03-22 08:52:29.945,1.111,,0.194,0.194,,1.163,0.169,,1.015
34466,Peter Malnati,2023,2025-03-22 08:55:42.906,-0.619,168.0,-0.571,-0.571,186.0,-43.434,0.436,23.0,33.158
33413,Ben Martin,2023,2025-03-22 09:00:50.850,0.037,107.0,0.048,0.048,88.0,3.813,0.028,91.0,2.256
32839,Hideki Matsuyama,2023,2025-03-22 09:03:31.386,1.02,16.0,0.086,0.086,81.0,6.047,-0.119,119.0,-8.302
51491,Brandon Matthews,2023,2025-03-22 09:06:48.839,-1.131,186.0,-0.029,-0.029,108.0,-1.236,-1.072,192.0,-45.008
47993,Denny McCarthy,2023,2025-03-22 09:09:58.769,0.28,68.0,0.035,0.035,90.0,3.042,0.724,3.0,63.682
59141,Matt McCarty,2023,2025-03-22 09:13:48.298,,,,,,,,,
51950,Max McGreevy,2023,2025-03-22 09:18:06.699,-1.203,187.0,-0.439,-0.439,178.0,-28.103,-0.527,185.0,-33.741
28237,Rory McIlroy,2023,2025-03-22 09:21:06.605,1.938,2.0,0.907,0.907,3.0,52.595,0.164,65.0,9.52
46442,Maverick McNealy,2023,2025-03-22 09:23:51.760,-0.729,174.0,-0.601,-0.601,188.0,-29.456,0.956,1.0,46.822
59143,Mac Meissner,2023,2025-03-22 09:25:59.765,0.192,,-0.751,-0.751,,-3.003,-1.041,,-4.164
32640,Troy Merritt,2023,2025-03-22 09:29:00.902,0.105,96.0,-0.026,-0.026,107.0,-1.829,-0.429,172.0,-30.047
39546,Keith Mitchell,2023,2025-03-22 09:32:12.897,0.429,48.0,0.743,0.743,7.0,55.008,0.054,85.0,3.976
25198,Francesco Molinari,2023,2025-03-22 09:34:27.872,-0.422,,-0.164,-0.164,,-6.217,-0.114,,-4.326
55789,Taylor Montgomery,2023,2025-03-22 09:36:14.489,-0.442,161.0,-0.206,-0.206,148.0,-17.475,0.919,2.0,78.103
26596,Ryan Moore,2023,2025-03-22 09:38:53.279,0.2,86.0,-0.112,-0.112,124.0,-7.153,-0.029,103.0,-1.852
49947,Taylor Moore,2023,2025-03-22 09:41:32.925,-0.065,117.0,-0.041,-0.041,114.0,-3.298,0.414,25.0,33.527
50525,Collin Morikawa,2023,2025-03-22 09:43:40.477,1.547,4.0,0.487,0.487,21.0,30.187,-0.109,114.0,-6.736
63121,William Mouw,2023,2025-03-22 09:45:31.549,1.931,,0.28,0.28,,1.12,0.11,,0.441
46601,Trey Mullinax,2023,2025-03-22 09:48:16.311,-0.209,133.0,-0.111,-0.111,122.0,-7.414,-0.328,167.0,-21.948
36871,Matt NeSmith,2023,2025-03-22 09:50:17.984,0.221,82.0,0.006,0.006,99.0,0.488,-0.13,124.0,-10.947
29289,S.Y. Noh,2023,2025-03-22 09:53:51.600,-0.968,182.0,-0.624,-0.624,190.0,-28.683,0.224,56.0,10.314
27349,Alex Noren,2023,2025-03-22 09:57:02.206,0.126,93.0,-0.378,-0.378,170.0,-27.561,0.475,18.0,34.672
